Ticker Listed
NG
LNG
SENS.K
EQX
NOG
GSAT.K
CQP
PRK
SEB
TMP
NHC
CCF
PLYM_pa.K
SIM
HWM_p
BTG
SLI
IMO
UUUU.K
NGD
MAG
SVM
SILV.K
DNN
NXE
LNG.A
ORLA.K
WFC.A
JPM.A
BABA.A
BAC.A
BRKb.A
DIS.A
XOM.A
V.A
BA.A
PFE.A
GM.A
UNH.A
C.A
F.A
JNJ.A
UBER.A
VZ.A
MA.A
CVX.A
CVS.A
RH.A
NOG.A
MS.A
KO.A
WMT.A
QSR.A
VALE.A
ABBV.A
SNAP.A
ITUB.A
SQ.A
HUBS.A
AON.A
T.A
MDT.A
HD.A
CRM.A
PG.A
RCL.A
CCL.A
PLTR.A
BTG.A
LUV.A
EOG.A
MET.A
MCD.A
IBM.A
MRK.A
NEM.A
TWTR.A
CNI.A
W.A
SNOW.A
QTS.A
PBR.A
FCX.A
SO.A
SENS.A
USB.A
GE.A
CI.A
NIO.A
ABT.A
DAL.A
LVS.A
FIS.A
GS.A
CQP.A
PRK.A
TSM.A
LLY.A
AXP.A
NEE.A
COP.A
EQX.A
CFG.A
NKE.A
IMO.A
BX.A
GOLD.A
IR.A
AFL.A
BURL.A
BSX.A
VLO.A
NOK.A
CAH.A
BBWI.A
RIO.A
BAM.A
SCHW.A
SLB.A
UNP.A
MPC.A
RTX.A
ANTM.A
X.A
NOW.A
BLK.A
BAX.A
BMY.A
PINS.A
DE.A
TMO.A
CL.A
TFX.A
GNRC.A
OXY.A
KMI.A
IP.A
AMC.A
GPN.A
VSCO.A
SHOP.A
FSLY.A
CTVA.A
BDX.A
BHC.A
MSCI.A
BP.A
ORCL.A
DVN.A
RDSa.A
M.A
CP.A
SLI.A
BBD.A
UUUU.A
BBL.A
PAYC.A
D.A
LOW.A
RNG.A
K.A
APD.A
SKLZ.A
SYK.A
NG.A
PPL.A
HLT.A
DHI.A
TMP.A
UPS.A
CNC.A
HAL.A
TGT.A
TJX.A
AIG.A
HUM.A
CLX.A
TFC.A
SPGI.A
CARR.A
TAL.A
PRU.A
BK.A
LII.A
MGM.A
IT.A
TWLO.A
CNQ.A
CLF.A
APH.A
CAT.A
BUD.A
CVNA.A
LAD.A
ZBH.A
LSPD.A
SYF.A
JCI.A
SE.A
COF.A
PBRa.A
GSAT.A
WK.A
PNC.A
VICI.A
MAG.A
FDX.A
KEY.A
SPCE.A
PH.A
ET.A
HPQ.A
ADM.A
ZTS.A
MO.A
LUMN.A
CMI.A
RDSb.A
ACN.A
SEB.A
UAA.A
WPM.A
EMR.A
UNM.A
DD.A
VEEV.A
NTR.A
LIN.A
DPZ.A
WMB.A
PXD.A
DECK.A
DRI.A
BBY.A
TPR.A
MAS.A
BCE.A
NGD.A
NOC.A
KMB.A
CMS.A
SILV.A
XPO.A
ED.A
JLL.A
LMT.A
EPD.A
EDU.A
DHR.A
MOS.A
OHI.A
ELAN.A
MRO.A
TT.A
PHM.A
MMM.A
SVM.A
TSN.A
CCI.A
ALB.A
LNC.A
DAC.A
BLL.A
QS.A
URI.A
PGR.A
KKR.A
KIM.A
DGX.A
MCK.A
PEG.A
UL.A
MGA.A
NSC.A
NET.A
ETR.A
VIPS.A
PLD.A
NHC.A
EQT.A
CB.A
PANW.A
KSS.A
LH.A
INFO.A
PSX.A
AUY.A
NLY.A
BLD.A
KR.A
ETN.A
PM.A
STT.A
RF.A
CRL.A
SHW.A
XPEV.A
BRKa.A
ROK.A
PPG.A
ALLY.A
NVS.A
STZ.A
CAG.A
TRI.A
BILL.A
AES.A
OTIS.A
OMC.A
ALL.A
SPG.A
FTV.A
INSP.A
VER.A
SYY.A
CPB.A
AU.A
DOW.A
CCF.A
CVE.A
PSA.A
BYD.A
ANET.A
LYV.A
IPG.A
UA.A
ICE.A
HES.A
TEL.A
A.A
CPNG.A
MMC.A
NVRO.A
EQH.A
CF.A
AMT.A
GLW.A
MFC.A
GIS.A
U.A
WRK.A
GXO.A
EQR.A
SU.A
NRG.A
ATUS.A
VMC.A
BEKE.A
PHR.A
FVRR.A
LYB.A
HWM.A
AEE.A
GFL.A
GSK.A
BTI.A
DDS.A
NVR.A
EW.A
PNW.A
ABEV.A
VTR.A
RBLX.A
DUK.A
DXC.A
ROP.A
EL.A
DLR.A
WM.A
SWK.A
CNP.A
BB.A
WELL.A
LDOS.A
NCLH.A
BMO.A
MPW.A
HPE.A
ITW.A
BWA.A
RL.A
AVTR.A
NXE.A
WU.A
CNK.A
YUMC.A
VST.A
CDAY.A
CBOE.A
APO.A
HCA.A
WAT.A
GPS.A
UMC.A
O.A
AMH.A
DQ.A
FLT.A
APTV.A
ENB.A
IFF.A
FHN.A
HIG.A
TRP.A
WST.A
COG.A
CE.A
AAP.A
RMD.A
INVH.A
GDDY.A
MTN.A
TDOC.A
GGB.A
WY.A
SPOT.A
DRE.A
HUN.A
RSG.A
CHD.A
CHPT.A
MCO.A
PCG.A
YUM.A
USFD.A
AYX.A
S.A
MOH.A
GD.A
FRC.A
